

replace_policy:FIFO
cache_index:256, associative:1
hit:719037, miss:280965
0:  0:  valid:1, tag:537	
1:  0:  valid:1, tag:537	
2:  0:  valid:1, tag:538	
3:  0:  valid:1, tag:538	
4:  0:  valid:1, tag:538	
5:  0:  valid:1, tag:537	
6:  0:  valid:1, tag:532	
7:  0:  valid:1, tag:532	
8:  0:  valid:1, tag:579	
9:  0:  valid:1, tag:579	
10:  0:  valid:1, tag:579	
11:  0:  valid:1, tag:579	
12:  0:  valid:1, tag:579	
13:  0:  valid:1, tag:537	
14:  0:  valid:1, tag:537	
15:  0:  valid:1, tag:537	
16:  0:  valid:1, tag:537	
17:  0:  valid:1, tag:537	
18:  0:  valid:1, tag:537	
19:  0:  valid:1, tag:537	
20:  0:  valid:1, tag:538	
21:  0:  valid:1, tag:538	
22:  0:  valid:1, tag:538	
23:  0:  valid:1, tag:532	
24:  0:  valid:1, tag:537	
25:  0:  valid:1, tag:537	
26:  0:  valid:1, tag:537	
27:  0:  valid:1, tag:537	
28:  0:  valid:1, tag:537	
29:  0:  valid:1, tag:542	
30:  0:  valid:1, tag:542	
31:  0:  valid:1, tag:542	
32:  0:  valid:1, tag:542	
33:  0:  valid:1, tag:542	
34:  0:  valid:1, tag:542	
35:  0:  valid:1, tag:530	
36:  0:  valid:1, tag:530	
37:  0:  valid:1, tag:530	
38:  0:  valid:1, tag:530	
39:  0:  valid:1, tag:542	
40:  0:  valid:1, tag:542	
41:  0:  valid:1, tag:542	
42:  0:  valid:1, tag:542	
43:  0:  valid:1, tag:542	
44:  0:  valid:1, tag:542	
45:  0:  valid:1, tag:542	
46:  0:  valid:1, tag:542	
47:  0:  valid:1, tag:530	
48:  0:  valid:1, tag:542	
49:  0:  valid:1, tag:542	
50:  0:  valid:1, tag:532	
51:  0:  valid:1, tag:529	
52:  0:  valid:1, tag:529	
53:  0:  valid:1, tag:529	
54:  0:  valid:1, tag:529	
55:  0:  valid:1, tag:529	
56:  0:  valid:1, tag:529	
57:  0:  valid:1, tag:529	
58:  0:  valid:1, tag:529	
59:  0:  valid:1, tag:529	
60:  0:  valid:1, tag:532	
61:  0:  valid:1, tag:527	
62:  0:  valid:1, tag:527	
63:  0:  valid:1, tag:527	
64:  0:  valid:1, tag:529	
65:  0:  valid:1, tag:527	
66:  0:  valid:1, tag:527	
67:  0:  valid:1, tag:542	
68:  0:  valid:1, tag:542	
69:  0:  valid:1, tag:527	
70:  0:  valid:1, tag:527	
71:  0:  valid:1, tag:527	
72:  0:  valid:1, tag:529	
73:  0:  valid:1, tag:529	
74:  0:  valid:1, tag:512	
75:  0:  valid:1, tag:512	
76:  0:  valid:1, tag:567	
77:  0:  valid:1, tag:529	
78:  0:  valid:1, tag:530	
79:  0:  valid:1, tag:530	
80:  0:  valid:1, tag:532	
81:  0:  valid:1, tag:532	
82:  0:  valid:1, tag:532	
83:  0:  valid:1, tag:532	
84:  0:  valid:1, tag:543	
